Name,Fan RPM,Noise Level,Color,Radiator Size,Rating,Price,image_url
Thermalright Aqua Elite V3 (21),Fan RPM1500 RPM,Noise Level25.6 dB,ColorBlack,Radiator Size240 mm,(21),€57.20Add,https://m.media-amazon.com/images/I/41pZVxhhiWL.jpg
be quiet! Dark Rock Pro 5 (22),Fan RPM1300 - 2000 RPM,Noise Level8.9 - 23.3 dB,ColorBlack,Radiator Size,(22),€93.89Add,https://cdna.pcpartpicker.com/static/forever/images/product/a0191a4cb06d0077eab9a260cc759c8b.256p.jpg
Corsair NAUTILUS 360 RS ARGB (6),Fan RPM2100 RPM,Noise Level34 dB,ColorWhite,Radiator Size360 mm,(6),€123.64Add,https://cdna.pcpartpicker.com/static/forever/images/product/ca7982eafd093cfb1d47f3b2887db528.256p.jpg
NZXT Kraken 240 (24),Fan RPM500 - 1800 RPM,Noise Level17.9 - 30.6 dB,ColorBlack,Radiator Size240 mm,(24),€149.26Add,https://cdna.pcpartpicker.com/static/forever/images/product/157afeba59d05304fe181106745e6177.256p.jpg
AMD Wraith Prism (23),Fan RPM2800 RPM,Noise Level42 dB,Color,Radiator Size,(23),€20.59Add,https://cdna.pcpartpicker.com/static/forever/images/product/00979205bfe0f63cf50f396392775b9f.256p.jpg
NZXT Kraken Elite 360 RGB (2024) (10),Fan RPM500 - 2400 RPM,Noise Level30 dB,ColorWhite,Radiator Size360 mm,(10),€335.94Add,https://cdna.pcpartpicker.com/static/forever/images/product/87647223e3478a0264b523d38ec982e1.256p.jpg
ARCTIC Liquid Freezer III Pro (7),Fan RPM600 - 3000 RPM,Noise Level,ColorBlack,Radiator Size240 mm,(7),€74.98Add,https://cdna.pcpartpicker.com/static/forever/images/product/8c1a0efcef96c3455d3ecd2bdc4a4fa7.256p.jpg
Corsair iCUE LINK TITAN 360 RX LCD (10),Fan RPM300 - 2100 RPM,Noise Level10 - 36 dB,ColorBlack,Radiator Size360 mm,(10),€229.90Add,https://cdna.pcpartpicker.com/static/forever/images/product/34813b9b3153ddbea54e46dfe496930e.256p.jpg
Thermalright Phantom Spirit 120 SE (91),Fan RPM1500 RPM,Noise Level25.6 dB,ColorBlack / Silver,Radiator Size,(91),€49.59Add,https://m.media-amazon.com/images/I/51kJe8EOqjL.jpg
Noctua NH-D15 (186),Fan RPM300 - 1500 RPM,Noise Level19.2 - 24.6 dB,Color,Radiator Size,(186),€113.00Add,https://cdna.pcpartpicker.com/static/forever/images/product/ca16d42d3e187f96c728c09183df14a7.med.256p.jpg
ARCTIC Freezer 36 (22),Fan RPM200 - 1800 RPM,Noise Level,ColorBlack,Radiator Size,(22),€34.18Add,https://m.media-amazon.com/images/I/41LLTGkmTRL.jpg
ID-COOLING SE-214-XT ARGB (54),Fan RPM500 - 1500 RPM,Noise Level13.8 - 30.5 dB,ColorBlack,Radiator Size,(54),Add,https://m.media-amazon.com/images/I/5130uHBNUnL.jpg
Thermalright Peerless Assassin 120 SE ARGB (66),Fan RPM1550 RPM,Noise Level25.6 dB,ColorBlack,Radiator Size,(66),€36.39Add,https://cdna.pcpartpicker.com/static/forever/images/product/1e057960fccae4328fbdc13bb45bf42c.256p.jpg
MSI MPG CORELIQUID D360 (0),Fan RPM,Noise Level,ColorBlack,Radiator Size360 mm,(0),Add,https://cdna.pcpartpicker.com/static/forever/images/product/03f3e1f6276abc7095487e641a775454.256p.jpg
Cooler Master Hyper 212 Spectrum V3 (14),Fan RPM650 - 1750 RPM,Noise Level27.2 dB,ColorBlack / Silver,Radiator Size,(14),€35.39Add,https://cdna.pcpartpicker.com/static/forever/images/product/99c2387300d7c25362407dbfeef14536.256p.jpg
Cooler Master MasterLiquid 360L Core ARGB (22),Fan RPM350 - 1750 RPM,Noise Level27.2 dB,ColorBlack,Radiator Size360 mm,(22),€85.98Add,https://cdna.pcpartpicker.com/static/forever/images/product/17af431eeae6b8cc280717a7f3bf3da3.256p.jpg
Thermalright Peerless Assassin 120 SE WHITE ARGB (51),Fan RPM1550 RPM,Noise Level25.6 dB,ColorWhite,Radiator Size,(51),Add,https://cdna.pcpartpicker.com/static/forever/images/product/c09b33bf4c2452bbc71fac7691860f4a.256p.jpg
Thermalright Phantom Spirit EVO (47),Fan RPM2150 RPM,Noise Level27 dB,ColorBlack,Radiator Size,(47),€60.90Add,https://cdna.pcpartpicker.com/static/forever/images/product/df16c34a7f230bb2f6848cd90c87e0fb.256p.jpg
Asus ROG Ryujin III 360 ARGB Extreme (1),Fan RPM1 - 2800 RPM,Noise Level36 dB,ColorBlack,Radiator Size360 mm,(1),€408.99Add,https://cdna.pcpartpicker.com/static/forever/images/product/39b44057eccd6eb120ce03241efb9758.256p.jpg
NZXT Kraken Elite 360 (2024) (14),Fan RPM500 - 2000 RPM,Noise Level30 dB,ColorBlack,Radiator Size360 mm,(14),€270.12Add,https://cdna.pcpartpicker.com/static/forever/images/product/fd99aab7f118f143c3e5fb3ffbe7634c.256p.jpg
TRYX PANORAMA SE ARGB (4),Fan RPM500 - 1850 RPM,Noise Level,ColorBlack,Radiator Size360 mm,(4),€300.20Add,https://cdna.pcpartpicker.com/static/forever/images/product/4396205566edcb98b328393b5a6e8c12.256p.jpg
Fractal Design Celsius+ S36 Prisma PWM ARGB (3),Fan RPM500 - 2000 RPM,Noise Level32.7 dB,ColorBlack,Radiator Size360 mm,(3),Out of stock€259.69Add,https://cdna.pcpartpicker.com/static/forever/images/product/1ae9b0d35fc86b81d0b5d748ef46eb0f.256p.jpg
Lian Li Hydroshift LCD 360S (5),Fan RPM200 - 2500 RPM,Noise Level29.8 dB,ColorWhite,Radiator Size360 mm,(5),€192.87Add,https://cdna.pcpartpicker.com/static/forever/images/product/47f6e66e2ffc069e7958649020d76c4c.256p.jpg
Corsair NAUTILUS 240 RS ARGB (4),Fan RPM2100 RPM,Noise Level34 dB,ColorBlack,Radiator Size240 mm,(4),€90.99Add,https://cdna.pcpartpicker.com/static/forever/images/product/99d2124a37493f5a3bfe1b442e32e4de.256p.jpg
Noctua NH-L9A-AM5 (3),Fan RPM600 - 2500 RPM,Noise Level14.8 - 23.6 dB,ColorBrown / Silver,Radiator Size,(3),€49.90Add,https://cdna.pcpartpicker.com/static/forever/images/product/e34aa9b26728023fbd3919e021729b44.256p.jpg
be quiet! Pure Rock 3 (2),Fan RPM2000 RPM,Noise Level12.4 - 31.2 dB,ColorBlack,Radiator Size,(2),€39.00Add,https://cdna.pcpartpicker.com/static/forever/images/product/0c15d5db66e04ad50dd39228ced3a511.256p.jpg
Corsair iCUE LINK TITAN 360 RX LCD (3),Fan RPM300 - 2100 RPM,Noise Level10 - 36 dB,ColorWhite,Radiator Size360 mm,(3),€258.12Add,https://cdna.pcpartpicker.com/static/forever/images/product/f06b7a0e60de10e6d1be7bbc0e98d299.256p.jpg
Cooler Master MasterLiquid 240L Core ARGB (7),Fan RPM350 - 1750 RPM,Noise Level27.2 dB,ColorBlack,Radiator Size240 mm,(7),€67.32Add,https://cdna.pcpartpicker.com/static/forever/images/product/6bda3e4685a8a28b5cd9d04ef76eb46b.256p.jpg
Thermalright Frozen Infinity 360 ARGB (13),Fan RPM2000 RPM,Noise Level28.2 dB,ColorWhite,Radiator Size360 mm,(13),€66.90Add,https://m.media-amazon.com/images/I/41m0Oop3ddL.jpg
MSI MAG CORELIQUID A13 (5),Fan RPM,Noise Level,ColorBlack,Radiator Size360 mm,(5),€66.95Add,https://cdna.pcpartpicker.com/static/forever/images/product/94534ff5409f98708d38cc1b06d0adf7.256p.jpg
ID-COOLING SE-903-XT (4),Fan RPM500 - 2200 RPM,Noise Level25.8 dB,ColorBlack,Radiator Size,(4),Add,https://cdna.pcpartpicker.com/static/forever/images/product/6d5bb0572a7037396468750e4aa5e25a.256p.jpg
Corsair NAUTILUS 360 RS LCD (3),Fan RPM2100 RPM,Noise Level10 - 36 dB,ColorBlack,Radiator Size360 mm,(3),€159.90Add,https://cdna.pcpartpicker.com/static/forever/images/product/6f29e592f8d32dc9571c6b5f8965a5cb.256p.jpg
