Name,Socket / CPU,Form Factor,Memory Max,Memory Slots,Color,Rating,Price,image_url
Asus Z790 GAMING WIFI7 (1),Socket / CPULGA1700,Form FactorATX,Memory Max192 GB,Memory Slots4,ColorSilver / Black,(1),Add,https://cdna.pcpartpicker.com/static/forever/images/product/c4369596c853d9da016e5878929ce45d.256p.jpg
ASRock B850M Pro-A WiFi (9),Socket / CPUAM5,Form FactorMicro ATX,Memory Max256 GB,Memory Slots4,ColorBlack,(9),€134.69Add,https://cdna.pcpartpicker.com/static/forever/images/product/e114446516cb565272b30e82624774be.256p.jpg
MSI MAG B550 TOMAHAWK MAX WIFI (37),Socket / CPUAM4,Form FactorATX,Memory Max128 GB,Memory Slots4,ColorSilver / Black,(37),€148.90Add,https://cdna.pcpartpicker.com/static/forever/images/product/cf20560e7e4a9e474fcb4c88238e4ffd.256p.jpg
Gigabyte B550M GAMING X WIFI6 (1),Socket / CPUAM4,Form FactorMicro ATX,Memory Max128 GB,Memory Slots4,ColorGray / Black,(1),€127.41Add,https://cdna.pcpartpicker.com/static/forever/images/product/cd5f3bb9add2e4123ade1d5161553326.256p.jpg
Asus ROG STRIX B550-F GAMING WIFI II (34),Socket / CPUAM4,Form FactorATX,Memory Max128 GB,Memory Slots4,ColorBlack / Red,(34),€169.98Add,https://cdna.pcpartpicker.com/static/forever/images/product/923cae0c8159c98aaf91541a20f95dc9.256p.jpg
MSI MAG B650 TOMAHAWK WIFI (141),Socket / CPUAM5,Form FactorATX,Memory Max256 GB,Memory Slots4,ColorBlack,(141),€174.95Add,https://cdna.pcpartpicker.com/static/forever/images/product/dc9235e0d8052745493eb900bb9df6f6.256p.jpg
MSI PRO B760-P WIFI DDR4 (14),Socket / CPULGA1700,Form FactorATX,Memory Max128 GB,Memory Slots4,ColorBlack,(14),€122.44Add,https://cdna.pcpartpicker.com/static/forever/images/product/28e8ce6b41464b892862574420f45b63.256p.jpg
MSI MAG X870 TOMAHAWK WIFI (38),Socket / CPUAM5,Form FactorATX,Memory Max256 GB,Memory Slots4,ColorBlack,(38),€289.40Add,https://cdna.pcpartpicker.com/static/forever/images/product/ec3fc6477ed914f51a028bc29f0e20aa.256p.jpg
Asus ROG CROSSHAIR X870E EXTREME (2),Socket / CPUAM5,Form FactorEATX,Memory Max256 GB,Memory Slots4,ColorBlack / Silver,(2),€1009.43Add,https://cdna.pcpartpicker.com/static/forever/images/product/32edc55907aae5cb63ec877846bb73ac.256p.jpg
Gigabyte B550M K (21),Socket / CPUAM4,Form FactorMicro ATX,Memory Max128 GB,Memory Slots4,ColorBrown / Silver,(21),€74.38Add,https://cdna.pcpartpicker.com/static/forever/images/product/f52a9a0b2a28f096b5b1e5bf02707224.256p.jpg
Gigabyte B650M GAMING PLUS WIFI (11),Socket / CPUAM5,Form FactorMicro ATX,Memory Max192 GB,Memory Slots4,ColorSilver / Black,(11),€137.94Add,https://cdna.pcpartpicker.com/static/forever/images/product/dbb71bb11592fff92343d7d68db13544.256p.jpg
ASRock B450M-HDV R4.0 (41),Socket / CPUAM4,Form FactorMicro ATX,Memory Max64 GB,Memory Slots2,ColorBlack / White,(41),€64.10Add,https://cdna.pcpartpicker.com/static/forever/images/product/2b2897ac0de148a2935c3277573131b3.256p.jpg
Gigabyte B760M GAMING PLUS WIFI DDR4 (4),Socket / CPULGA1700,Form FactorMicro ATX,Memory Max128 GB,Memory Slots4,ColorBlack / Silver,(4),€138.80Add,https://cdna.pcpartpicker.com/static/forever/images/product/6dcbd73f46d20ca37c1e80a00f3ef206.256p.jpg
