Name,Type,Color,Power Supply,Side Panel,External Volume,"Internal 3.5"" Bays",Rating,Price,image_url
Jonsbo D32 PRO (11),TypeMicroATX Desktop,ColorBlack,Power SupplyNone,Side PanelTempered Glass,External Volume25.7 L,"Internal 3.5"" Bays2",(11),€73.90Add,https://cdna.pcpartpicker.com/static/forever/images/product/e63f1c68694e1f9fbf7d71f48052a1fe.256p.jpg
MSI MPG Sekira 500G (0),TypeATX Mid Tower,ColorBlack,Power SupplyNone,Side PanelTempered Glass,External Volume67.1 L,"Internal 3.5"" Bays6",(0),Add,https://m.media-amazon.com/images/I/31jM5zXSewL.jpg
Lian Li LANCOOL 217 INF (4),TypeATX Mid Tower,ColorBlack,Power SupplyNone,Side PanelTempered Glass,External Volume57.7 L,"Internal 3.5"" Bays4",(4),€114.44Add,https://cdna.pcpartpicker.com/static/forever/images/product/8ab290fa1403b07b9ddf10897e60670f.256p.jpg
Montech X3 Mesh (15),TypeATX Mid Tower,ColorBlack,Power SupplyNone,Side PanelTempered Glass,External Volume,"Internal 3.5"" Bays2",(15),€58.35Add,https://cdna.pcpartpicker.com/static/forever/images/product/9e7790ee9397346b4c023cc04296fb5e.256p.jpg
Corsair 7000D AIRFLOW (17),TypeATX Full Tower,ColorBlack,Power SupplyNone,Side PanelTempered Glass,External Volume81.8 L,"Internal 3.5"" Bays6",(17),€337.90Add,https://cdna.pcpartpicker.com/static/forever/images/product/aa86351c8df24a48c98e7a14f50631a3.256p.jpg
Jonsbo NV10 (0),TypeMini ITX Desktop,ColorBlack / Brown,Power SupplyNone,Side PanelMesh,External Volume4.5 L,"Internal 3.5"" Bays0",(0),€101.36Add,https://cdna.pcpartpicker.com/static/forever/images/product/76cf9932ea9ceb95c93d25febfbb2036.256p.jpg
Fractal Design Ridge PCIe 4.0 (3),TypeMini ITX Tower,ColorBlack,Power SupplyNone,Side PanelMesh,External Volume16.3 L,"Internal 3.5"" Bays0",(3),€132.35Add,https://m.media-amazon.com/images/I/31bjjZkjSOL.jpg
Lian Li O11 Dynamic Mini V2 Flow (1),TypeATX Mini Tower,ColorWhite,Power SupplyNone,Side PanelTempered Glass,External Volume45.4 L,"Internal 3.5"" Bays2",(1),€103.70Add,https://cdna.pcpartpicker.com/static/forever/images/product/4d30fd5e4f14ca88cfab0487711bec6e.256p.jpg
Asus ROG Strix Helios II (0),TypeATX Mid Tower,ColorWhite,Power SupplyNone,Side PanelTempered Glass,External Volume83.5 L,"Internal 3.5"" Bays2",(0),€334.79Add,https://cdna.pcpartpicker.com/static/forever/images/product/f12565247ac931555820e2f9f250a41c.256p.jpg
HAVN BF 360 Flow (2),TypeATX Mid Tower,ColorBlack,Power SupplyNone,Side PanelTempered Glass,External Volume68.4 L,"Internal 3.5"" Bays2",(2),€192.70Add,https://cdna.pcpartpicker.com/static/forever/images/product/8ef4d01c7c9c0c94f1b6a841f37d905e.256p.jpg
NZXT H9 Flow RGB+ (2025) (2),TypeATX Mid Tower,ColorWhite,Power SupplyNone,Side PanelTempered Glass,External Volume76.7 L,"Internal 3.5"" Bays2",(2),€304.89Add,https://cdna.pcpartpicker.com/static/forever/images/product/791f157d26538e32901a4b24f6744af7.256p.jpg
Cooler Master Elite 301 (8),TypeMicroATX Mid Tower,ColorBlack,Power SupplyNone,Side PanelTempered Glass,External Volume34.1 L,"Internal 3.5"" Bays1",(8),€40.40Add,https://cdna.pcpartpicker.com/static/forever/images/product/6da0c8f15d8814831485635c9676d23a.256p.jpg
Fractal Design Define R5 (61),TypeATX Mid Tower,ColorBlack,Power SupplyNone,Side PanelNone,External Volume54.2 L,"Internal 3.5"" Bays8",(61),€123.29Add,https://cdna.pcpartpicker.com/static/forever/images/product/3803ebb09f64ddc954a86cb7b45a8ebd.256p.jpg
NZXT H510 (167),TypeATX Mid Tower,ColorWhite,Power SupplyNone,Side PanelTempered Glass,External Volume41.3 L,"Internal 3.5"" Bays2",(167),Add,https://cdna.pcpartpicker.com/static/forever/images/product/604fef5ac9874dffa927a3db98c1188d.256p.jpg
Montech X5M (4),TypeMicroATX Mini Tower,ColorBlack,Power SupplyNone,Side PanelTempered Glass,External Volume45.3 L,"Internal 3.5"" Bays2",(4),€47.47Add,https://cdna.pcpartpicker.com/static/forever/images/product/194bb19f86f9bc3969c42346a261f480.256p.jpg
Antec FLUX PRO (8),TypeATX Full Tower,ColorBlack / Brown,Power SupplyNone,Side PanelTempered Glass,External Volume70.8 L,"Internal 3.5"" Bays4",(8),€192.80Add,https://cdna.pcpartpicker.com/static/forever/images/product/b76da1b61903db1a3a2ae31295d52f6f.256p.jpg
Jonsbo Jonsplus Z20 (17),TypeMicroATX Desktop,ColorBlack,Power SupplyNone,Side PanelTempered Glass,External Volume25.3 L,"Internal 3.5"" Bays1",(17),€88.70Add,https://cdna.pcpartpicker.com/static/forever/images/product/a4ddc6df555e1d01e63b5442f21946d7.256p.jpg
Jonsbo C6-ITX (0),TypeMini ITX Desktop,ColorBlack,Power SupplyNone,Side PanelMesh,External Volume15.9 L,"Internal 3.5"" Bays1",(0),€65.77Add,https://cdna.pcpartpicker.com/static/forever/images/product/1046a701715276b7c900588c25c30e6f.256p.jpg
NZXT H3 Flow (1),TypeMicroATX Mid Tower,ColorWhite,Power SupplyNone,Side PanelTempered Glass,External Volume35.0 L,"Internal 3.5"" Bays1",(1),€69.95Add,https://cdna.pcpartpicker.com/static/forever/images/product/ae820ec6301086ad1c7f4151a4fd9e14.256p.jpg
Fractal Design Pop Mini Air (39),TypeMicroATX Mid Tower,ColorBlack,Power SupplyNone,Side PanelTempered Glass,External Volume36.5 L,"Internal 3.5"" Bays2",(39),€84.95Add,https://cdna.pcpartpicker.com/static/forever/images/product/6bd2cbaf780aea720a3b8a53d80ce635.256p.jpg
NZXT H6 Flow RGB (16),TypeATX Mid Tower,ColorBlack,Power SupplyNone,Side PanelTempered Glass,External Volume51.8 L,"Internal 3.5"" Bays1",(16),€140.83Add,https://cdna.pcpartpicker.com/static/forever/images/product/36fe212ae1df2ee3ea86f193354e27fb.256p.jpg
Fractal Design North XL (4),TypeATX Full Tower,ColorBlack,Power SupplyNone,Side PanelMesh,External Volume61.4 L,"Internal 3.5"" Bays2",(4),€168.17Add,https://cdna.pcpartpicker.com/static/forever/images/product/5bab30acac2072bec11c308f85697dc9.256p.jpg
Phanteks EVOLV X2 (7),TypeATX Mid Tower,ColorBlack,Power SupplyNone,Side PanelTempered Glass,External Volume60.9 L,"Internal 3.5"" Bays2",(7),€149.90Add,https://cdna.pcpartpicker.com/static/forever/images/product/ff22ad5c41d204e9aeba33ea73af0c2a.256p.jpg
NZXT H9 Flow (2025) (1),TypeATX Mid Tower,ColorWhite,Power SupplyNone,Side PanelTempered Glass,External Volume76.7 L,"Internal 3.5"" Bays2",(1),€158.26Add,https://cdna.pcpartpicker.com/static/forever/images/product/c3f08e007e343d626448d0e1b5ef48e4.256p.jpg
Thermaltake View 270 Plus TG ARGB (6),TypeATX Mid Tower,ColorBlack,Power SupplyNone,Side PanelTempered Glass,External Volume47.6 L,"Internal 3.5"" Bays2",(6),€89.90Add,https://cdna.pcpartpicker.com/static/forever/images/product/9e5614134f25613ad1680297287c0aea.256p.jpg
Cooler Master MasterBox NR200P V2 (3),TypeMini ITX Desktop,ColorBlack,Power SupplyNone,Side PanelMesh,External Volume20.1 L,"Internal 3.5"" Bays1",(3),€120.00Add,https://cdna.pcpartpicker.com/static/forever/images/product/bf0023fb357f037c354139e56a95aa4d.256p.jpg
Corsair FRAME 4000D RS (3),TypeATX Mid Tower,ColorBlack,Power SupplyNone,Side PanelTempered Glass,External Volume56.7 L,"Internal 3.5"" Bays2",(3),€104.90Add,https://cdna.pcpartpicker.com/static/forever/images/product/0aace4b7694fde3ec5552a640c0f95a5.256p.jpg
