Name,Chipset,Memory,Core Clock,Boost Clock,Color,Length,Rating,Price,image_url
XFX Speedster MERC 310 Black Edition (64),ChipsetRadeon RX 7900 XTX,Memory24 GB,Core Clock2300 MHz,Boost Clock2615 MHz,ColorBlack / Silver,Length344 mm,(64),€908.00Add,https://cdna.pcpartpicker.com/static/forever/images/product/4b6e1666bdde2d084cb87b98ba5d8b30.256p.jpg
Asus PRIME OC (1),ChipsetRadeon RX 9060 XT,Memory16 GB,Core Clock2220 MHz,Boost Clock3330 MHz,ColorBlack,Length304 mm,(1),€537.85Add,https://cdna.pcpartpicker.com/static/forever/images/product/8030cec7e0232aaeb5be9ef5bf998ed5.256p.jpg
ASRock Challenger OC (6),ChipsetRadeon RX 7700 XT,Memory12 GB,Core Clock1700 MHz,Boost Clock2584 MHz,ColorBlack,Length266 mm,(6),€712.85Add,https://cdna.pcpartpicker.com/static/forever/images/product/fdfa1b89cb54fb91483ca1fbc6b57f3f.256p.jpg
Gigabyte WINDFORCE OC (27),ChipsetGeForce RTX 4070,Memory12 GB,Core Clock1920 MHz,Boost Clock2490 MHz,ColorBlack,Length261 mm,(27),Add,https://cdna.pcpartpicker.com/static/forever/images/product/772cce097c55469671a0d75ea4aca83a.256p.jpg
Asus DUAL EVO OC (1),ChipsetRadeon RX 7600,Memory8 GB,Core Clock1720 MHz,Boost Clock2715 MHz,ColorBlack,Length229 mm,(1),€305.95Add,https://m.media-amazon.com/images/I/414SnAcfbtL.jpg
Asus PRIME (0),ChipsetGeForce RTX 5060,Memory8 GB,Core Clock2280 MHz,Boost Clock2527 MHz,ColorBlack,Length268 mm,(0),€514.00Add,https://cdna.pcpartpicker.com/static/forever/images/product/6bbae69221cd801a3152c8f12e7c27af.256p.jpg
Asus TUF GAMING OC (2),ChipsetGeForce RTX 5070 Ti,Memory16 GB,Core Clock2300 MHz,Boost Clock2610 MHz,ColorWhite / Silver,Length329 mm,(2),€1248.90Add,https://cdna.pcpartpicker.com/static/forever/images/product/84b3d160dc1ca70eed788fc5a3257ab0.256p.jpg
XFX Speedster SWFT 210 Core (6),ChipsetRadeon RX 7600,Memory8 GB,Core Clock1875 MHz,Boost Clock2655 MHz,ColorBlack,Length241 mm,(6),€262.00Add,https://m.media-amazon.com/images/I/41qsQY8oXcL.jpg
Gigabyte GAMING OC (11),ChipsetGeForce RTX 5070 Ti,Memory16 GB,Core Clock2588 MHz,Boost Clock,ColorBlack,Length340 mm,(11),€1038.00Add,https://cdna.pcpartpicker.com/static/forever/images/product/7286e3994f72346993fa78135c86ddbe.256p.jpg
Asus ROG Astral OC (0),ChipsetGeForce RTX 5080,Memory16 GB,Core Clock2300 MHz,Boost Clock2790 MHz,ColorWhite,Length358 mm,(0),€2099.00Add,https://cdna.pcpartpicker.com/static/forever/images/product/0c61adf68593e6468e8391b21dd9f9cb.256p.jpg
Gigabyte GAMING OC (4),ChipsetGeForce RTX 5090,Memory32 GB,Core Clock2010 MHz,Boost Clock2550 MHz,ColorBlack,Length342 mm,(4),€3799.00Add,https://cdna.pcpartpicker.com/static/forever/images/product/082be5f3ed8c7574ada8ed2cecddcb5c.256p.jpg
XFX RX-79TMBABF9 (6),ChipsetRadeon RX 7900 XT,Memory20 GB,Core Clock2000 MHz,Boost Clock2400 MHz,ColorBlack,Length276 mm,(6),€696.00Add,https://cdna.pcpartpicker.com/static/forever/images/product/a05245760a1b9fd2988847a60767d99e.256p.jpg
ASRock Phantom Gaming OC (15),ChipsetRadeon RX 7900 XTX,Memory24 GB,Core Clock2300 MHz,Boost Clock2615 MHz,ColorBlack,Length330 mm,(15),Add,https://cdna.pcpartpicker.com/static/forever/images/product/d3d588536b23037ec14a155a67de9e4a.256p.jpg
Sapphire PURE (8),ChipsetRadeon RX 9070 XT,Memory16 GB,Core Clock2460 MHz,Boost Clock3010 MHz,ColorWhite,Length320 mm,(8),€719.90Add,https://cdna.pcpartpicker.com/static/forever/images/product/2c06f017723d991b814947ff0c9bd519.256p.jpg
Gigabyte WINDFORCE OC Rev 2.0 (3),ChipsetGeForce RTX 3060 12GB,Memory12 GB,Core Clock1320 MHz,Boost Clock1792 MHz,ColorBlack,Length198 mm,(3),Add,https://m.media-amazon.com/images/I/41iMJH0EHKL.jpg
ASRock Steel Legend OC (4),ChipsetRadeon RX 9060 XT,Memory16 GB,Core Clock2220 MHz,Boost Clock3320 MHz,ColorWhite / Gray,Length298 mm,(4),€499.00Add,https://cdna.pcpartpicker.com/static/forever/images/product/1a235541a242ee9e62115ee9f4e43a7d.256p.jpg
Asus TUF GAMING OC (5),ChipsetGeForce RTX 5070,Memory12 GB,Core Clock2160 MHz,Boost Clock,ColorBlack / Silver,Length329 mm,(5),€704.37Add,https://cdna.pcpartpicker.com/static/forever/images/product/468c069e4aca2de25f8d17145b61b51e.256p.jpg
MSI VENTUS 2X OC (4),ChipsetGeForce RTX 5070,Memory12 GB,Core Clock2160 MHz,Boost Clock2557 MHz,ColorSilver / Black,Length236 mm,(4),€585.69Add,https://cdna.pcpartpicker.com/static/forever/images/product/3b41941b9302f7e9095a49d681a27835.256p.jpg
Asus TUF GAMING OC (20),ChipsetGeForce GTX 1660 SUPER,Memory6 GB,Core Clock1530 MHz,Boost Clock1845 MHz,ColorBlack,Length206 mm,(20),Add,https://cdna.pcpartpicker.com/static/forever/images/product/f61456701d1322e072508a4c608b7732.256p.jpg
NVIDIA Founders Edition (34),ChipsetGeForce RTX 4090,Memory24 GB,Core Clock2230 MHz,Boost Clock2520 MHz,ColorBlack / Silver,Length304 mm,(34),Add,https://cdna.pcpartpicker.com/static/forever/images/product/07ff8dc03a65e34edc811c97d838af9a.256p.jpg
MSI VENTUS 2X PLUS OC (3),ChipsetGeForce RTX 5060 Ti,Memory16 GB,Core Clock2410 MHz,Boost Clock2617 MHz,ColorBlack / Gray,Length227 mm,(3),€603.00Add,https://cdna.pcpartpicker.com/static/forever/images/product/119d0908566b15ced62e41f53a108469.256p.jpg
MSI VENTUS 3X OC (0),ChipsetGeForce RTX 5080,Memory16 GB,Core Clock2300 MHz,Boost Clock2655 MHz,ColorWhite,Length303 mm,(0),€1534.14Add,https://cdna.pcpartpicker.com/static/forever/images/product/b3e14fb33812db4cb9829a18b6066b2c.256p.jpg
Asus ROG STRIX GAMING OC (1),ChipsetGeForce RTX 5070 Ti,Memory16 GB,Core Clock2300 MHz,Boost Clock2625 MHz,ColorBlack / Silver,Length332 mm,(1),€1326.90Add,https://cdna.pcpartpicker.com/static/forever/images/product/b17fcb9e900098a2cc46c5fe2c2411a6.256p.jpg
ASRock Challenger D (36),ChipsetRadeon RX 6600,Memory8 GB,Core Clock1626 MHz,Boost Clock,ColorBlack,Length269 mm,(36),Add,https://cdna.pcpartpicker.com/static/forever/images/product/c5489241c902a9ae06a42212e978f989.256p.jpg
MSI SUPRIM LIQUID SOC (5),ChipsetGeForce RTX 5090,Memory32 GB,Core Clock2010 MHz,Boost Clock,ColorBlack / Silver,Length280 mm,(5),Out of stock€2899.68Add,https://cdna.pcpartpicker.com/static/forever/images/product/ceb6bf84996a0c5d069a73e5b48c4d75.256p.jpg
XFX Swift (5),ChipsetRadeon RX 9070 XT,Memory16 GB,Core Clock1660 MHz,Boost Clock2970 MHz,ColorWhite,Length325 mm,(5),€736.00Add,https://cdna.pcpartpicker.com/static/forever/images/product/66ab940d990308e87d1e2f33130d0831.256p.jpg
Asus DUAL EVO OC (0),ChipsetGeForce RTX 4060 Ti,Memory8 GB,Core Clock2310 MHz,Boost Clock2595 MHz,ColorBlack,Length227 mm,(0),Add,https://cdna.pcpartpicker.com/static/forever/images/product/9587565162ba3dd767fd21a6b640c824.256p.jpg
