Name,Speed,Modules,Price / GB,Color,First Word Latency,CAS Latency,Rating,Price,image_url
Patriot Viper Elite 5 16 GB (1),SpeedDDR5-6000,Modules1 x 16GB,Price / GB,ColorWhite,First Word Latency10 ns,CAS Latency30,(1),Add,https://cdna.pcpartpicker.com/static/forever/images/product/982b9428595cdc64d19a034fcf0b7d3b.256p.jpg
Corsair Vengeance RGB 32 GB (19),SpeedDDR5-6000,Modules2 x 16GB,Price / GB€15.031,ColorWhite / Silver,First Word Latency12 ns,CAS Latency36,(19),€480.99Add,https://cdna.pcpartpicker.com/static/forever/images/product/1574b4ca51100d42eb00a882a6481427.256p.jpg
Corsair Vengeance RGB Pro 32 GB (106),SpeedDDR4-3600,Modules2 x 16GB,Price / GB€6.312,ColorBlack,First Word Latency10 ns,CAS Latency18,(106),€201.99Add,https://cdna.pcpartpicker.com/static/forever/images/product/5f09867b54e9ad932b4dd1bc767f6238.256p.jpg
Crucial Pro 32 GB (0),SpeedDDR5-6400,Modules2 x 16GB,Price / GB€13.931,ColorBlack,First Word Latency11.875 ns,CAS Latency38,(0),€445.80Add,https://cdna.pcpartpicker.com/static/forever/images/product/749157446fcdcc5fe5abbb0e8d37ed08.256p.jpg
Kingston FURY Beast RGB 32 GB (16),SpeedDDR5-6000,Modules2 x 16GB,Price / GB€9.643,ColorBlack,First Word Latency10 ns,CAS Latency30,(16),€308.56Add,https://cdna.pcpartpicker.com/static/forever/images/product/54ddbd8a23594ec6f8f120d748c9e559.256p.jpg
G.Skill Trident Z5 Neo RGB 32 GB (129),SpeedDDR5-6000,Modules2 x 16GB,Price / GB€18.216,ColorBlack,First Word Latency10 ns,CAS Latency30,(129),€582.90Add,https://cdna.pcpartpicker.com/static/forever/images/product/a4cecff25f58230f3fbae1903d711e49.256p.jpg
Corsair Vengeance RGB Pro 16 GB (385),SpeedDDR4-3200,Modules2 x 8GB,Price / GB€11.550,ColorBlack,First Word Latency10 ns,CAS Latency16,(385),€184.80Add,https://cdna.pcpartpicker.com/static/forever/images/product/87cd8e9d02ffb0997769f4a4d5969669.256p.jpg
Corsair Vengeance 32 GB (79),SpeedDDR5-6000,Modules2 x 16GB,Price / GB€18.343,ColorBlack / Gray,First Word Latency10 ns,CAS Latency30,(79),€586.99Add,https://cdna.pcpartpicker.com/static/forever/images/product/fe414d3559a9bbb2e092ba5374f6e1ed.256p.jpg
TEAMGROUP T-Force Vulcan Z 16 GB (120),SpeedDDR4-3200,Modules2 x 8GB,Price / GB€8.906,ColorBlack,First Word Latency10 ns,CAS Latency16,(120),€142.50Add,https://cdna.pcpartpicker.com/static/forever/images/product/96753a64597c28e46bf80ef7064b214b.256p.jpg
Patriot Viper Venom 32 GB (26),SpeedDDR5-6000,Modules2 x 16GB,Price / GB€14.747,ColorBlack / White,First Word Latency10 ns,CAS Latency30,(26),€471.90Add,https://m.media-amazon.com/images/I/41xQi9FKIgL.jpg
