Name,Core Count,Performance Core Clock,Performance Core Boost Clock,Microarchitecture,TDP,Integrated Graphics,Rating,Price,image_url
Intel Core Ultra 5 245KF (0),Core Count14,Performance Core Clock4.2 GHz,Performance Core Boost Clock5.2 GHz,MicroarchitectureArrow Lake,TDP125 W,Integrated GraphicsNone,(0),€194.89Add,https://cdna.pcpartpicker.com/static/forever/images/product/86f90b80222ce0831fa4c548b8af3df2.256p.jpg
AMD Ryzen 5 3600X (199),Core Count6,Performance Core Clock3.8 GHz,Performance Core Boost Clock4.4 GHz,MicroarchitectureZen 2,TDP95 W,Integrated GraphicsNone,(199),€392.81Add,https://cdna.pcpartpicker.com/static/forever/images/product/c7baf2c9c9cc15ae23adb24c2f4316fc.256p.jpg
AMD Ryzen 5 8600G (15),Core Count6,Performance Core Clock4.3 GHz,Performance Core Boost Clock5 GHz,MicroarchitectureZen 4,TDP65 W,Integrated GraphicsRadeon 760M,(15),€177.89Add,https://cdna.pcpartpicker.com/static/forever/images/product/d5ae2e9f000a9c994f70e092b05c80ef.256p.jpg
AMD Ryzen 7 2700X (359),Core Count8,Performance Core Clock3.7 GHz,Performance Core Boost Clock4.3 GHz,MicroarchitectureZen+,TDP105 W,Integrated GraphicsNone,(359),€490.78Add,https://cdna.pcpartpicker.com/static/forever/images/product/4e84967ef18c9b42e543b58c836d73ef.256p.jpg
AMD Ryzen 5 5500GT (5),Core Count6,Performance Core Clock3.6 GHz,Performance Core Boost Clock4.4 GHz,MicroarchitectureZen 3,TDP65 W,Integrated GraphicsRadeon Vega 7,(5),€138.98Add,https://cdna.pcpartpicker.com/static/forever/images/product/65f2a2e1999cd06b510b8ee145a2c14f.256p.jpg
AMD Ryzen 3 4100 (7),Core Count4,Performance Core Clock3.8 GHz,Performance Core Boost Clock4 GHz,MicroarchitectureZen 2,TDP65 W,Integrated GraphicsNone,(7),€49.95Add,https://cdna.pcpartpicker.com/static/forever/images/product/43c4d752d1441ed420dd80502e718918.256p.jpg
AMD Ryzen 7 7800X3D (3),Core Count8,Performance Core Clock4.2 GHz,Performance Core Boost Clock5 GHz,MicroarchitectureZen 4,TDP120 W,Integrated GraphicsRadeon,(3),€330.14Add,https://cdna.pcpartpicker.com/static/forever/images/product/e8e7d9593f6e2f60baf789cbfb94eb55.256p.jpg
Intel Celeron E3400 (0),Core Count2,Performance Core Clock2.6 GHz,Performance Core Boost Clock,MicroarchitectureWolfdale,TDP65 W,Integrated GraphicsNone,(0),Add,https://images-na.ssl-images-amazon.com/images/I/41KETw2ka4L.jpg
Intel Core i3-14100F (1),Core Count4,Performance Core Clock3.5 GHz,Performance Core Boost Clock4.7 GHz,MicroarchitectureRaptor Lake Refresh,TDP58 W,Integrated GraphicsNone,(1),€90.99Add,https://cdna.pcpartpicker.com/static/forever/images/product/874cc0e600bde06d75755309677a87e2.256p.jpg
AMD Ryzen 5 7500X3D (0),Core Count6,Performance Core Clock4 GHz,Performance Core Boost Clock4.5 GHz,MicroarchitectureZen 4,TDP65 W,Integrated GraphicsRadeon,(0),€233.79Add,https://cdna.pcpartpicker.com/static/forever/images/product/e6fba40ca11c108409ebc9302b371457.256p.jpg
Intel Core i7-7700K (304),Core Count4,Performance Core Clock4.2 GHz,Performance Core Boost Clock4.5 GHz,MicroarchitectureKaby Lake,TDP91 W,Integrated GraphicsIntel HD Graphics 630,(304),€258.66Add,https://cdna.pcpartpicker.com/static/forever/images/product/e466732c63d1d636cf13e256bb7cf5ff.256p.jpg
Intel Core i7-13700K (132),Core Count16,Performance Core Clock3.4 GHz,Performance Core Boost Clock5.4 GHz,MicroarchitectureRaptor Lake,TDP125 W,Integrated GraphicsIntel UHD Graphics 770,(132),€365.03Add,https://cdna.pcpartpicker.com/static/forever/images/product/2f3405387f23ab827695d966ea9f9682.256p.jpg
Intel Core i9-14900KS (2),Core Count24,Performance Core Clock3.2 GHz,Performance Core Boost Clock6.2 GHz,MicroarchitectureRaptor Lake Refresh,TDP150 W,Integrated GraphicsIntel UHD Graphics 770,(2),€722.80Add,https://cdna.pcpartpicker.com/static/forever/images/product/7f03744e2c593edbbf711b21d85c59b3.256p.jpg
Intel Core i9-9900K (211),Core Count8,Performance Core Clock3.6 GHz,Performance Core Boost Clock5 GHz,MicroarchitectureCoffee Lake Refresh,TDP95 W,Integrated GraphicsIntel UHD Graphics 630,(211),€472.66Add,https://cdna.pcpartpicker.com/static/forever/images/product/76f85d74fb4d0e2cc31f940bee5905c4.256p.jpg
AMD Ryzen 9 7900X3D (24),Core Count12,Performance Core Clock4.4 GHz,Performance Core Boost Clock5.6 GHz,MicroarchitectureZen 4,TDP120 W,Integrated GraphicsRadeon,(24),€572.79Add,https://cdna.pcpartpicker.com/static/forever/images/product/98c4874ed550e2bbcc2d29d67177ddc8.256p.jpg
AMD Ryzen 9 3900X (280),Core Count12,Performance Core Clock3.8 GHz,Performance Core Boost Clock4.6 GHz,MicroarchitectureZen 2,TDP105 W,Integrated GraphicsNone,(280),€622.66Add,https://cdna.pcpartpicker.com/static/forever/images/product/14adcd1fc88ebf386b746037c966b6af.256p.jpg
AMD Ryzen 9 7950X (50),Core Count16,Performance Core Clock4.5 GHz,Performance Core Boost Clock5.7 GHz,MicroarchitectureZen 4,TDP170 W,Integrated GraphicsRadeon,(50),€868.82Add,https://cdna.pcpartpicker.com/static/forever/images/product/8de723005cfc1b85071c4abf4d76bd4e.256p.jpg
