Name,Capacity,Price / GB,Type,Cache,Form Factor,Interface,Rating,Price,image_url
Klevv CRAS C910 (12),Capacity1 TB,Price / GB,TypeSSD,Cache,Form FactorM.2-2280,InterfaceM.2 PCIe 4.0 X4,(12),Add,https://m.media-amazon.com/images/I/31dtu8k-RkL.jpg
Crucial P310 (1),Capacity500 GB,Price / GB€0.194,TypeSSD,Cache,Form FactorM.2-2280,InterfaceM.2 PCIe 4.0 X4,(1),€96.80Add,https://cdna.pcpartpicker.com/static/forever/images/product/c54792ba24726ba1fc089b2b6022f242.256p.jpg
Samsung 980 (36),Capacity500 GB,Price / GB€0.245,TypeSSD,Cache,Form FactorM.2-2280,InterfaceM.2 PCIe 3.0 X4,(36),€122.39Add,https://cdna.pcpartpicker.com/static/forever/images/product/ca0b46376f072d2483c385bad50c6310.256p.jpg
Seagate Exos M (0),Capacity36 TB,Price / GB,Type7200 RPM,Cache,"Form Factor3.5""",InterfaceSATA 6.0 Gb/s,(0),Add,/static/forever/img/no-image.png
Intel DC P3608 (0),Capacity4 TB,Price / GB€1.262,TypeSSD,Cache,Form FactorPCIe,InterfacePCIe x8,(0),€5049.95Add,/static/forever/img/no-image.png
Lexar NM790 (13),Capacity1 TB,Price / GB€0.172,TypeSSD,Cache,Form FactorM.2-2280,InterfaceM.2 PCIe 4.0 X4,(13),€171.96Add,https://cdna.pcpartpicker.com/static/forever/images/product/3fbe36d4153d010e46505b197701865a.256p.jpg
Western Digital Blue (28),Capacity4 TB,Price / GB€0.030,Type5400 RPM,Cache256 MB,"Form Factor3.5""",InterfaceSATA 6.0 Gb/s,(28),€119.99Add,https://cdna.pcpartpicker.com/static/forever/images/product/84d21e519b342daa8e8d2326b7c89e19.256p.jpg
Seagate Barracuda Compute (22),Capacity8 TB,Price / GB,Type5400 RPM,Cache256 MB,"Form Factor3.5""",InterfaceSATA 6.0 Gb/s,(22),Add,https://m.media-amazon.com/images/I/41aEb8InacL.jpg
Western Digital WD Blue SN5000 (1),Capacity500 GB,Price / GB€0.200,TypeSSD,Cache,Form FactorM.2-2280,InterfaceM.2 PCIe 4.0 X4,(1),€99.99Add,https://cdna.pcpartpicker.com/static/forever/images/product/3c03726c558dde11a8bb793ec09bfda8.256p.jpg
Samsung 980 (97),Capacity1 TB,Price / GB€0.172,TypeSSD,Cache,Form FactorM.2-2280,InterfaceM.2 PCIe 3.0 X4,(97),€171.91Add,https://cdna.pcpartpicker.com/static/forever/images/product/2aff821ed66963cb32fb0c71b093eccc.256p.jpg
Western Digital Blue SN580 (52),Capacity1 TB,Price / GB,TypeSSD,Cache,Form FactorM.2-2280,InterfaceM.2 PCIe 4.0 X4,(52),Add,https://cdna.pcpartpicker.com/static/forever/images/product/f3d3390c0b08de6bbdfecbac012c639b.256p.jpg
Samsung 990 Pro w/Heatsink (18),Capacity2 TB,Price / GB€0.124,TypeSSD,Cache2048 MB,Form FactorM.2-2280,InterfaceM.2 PCIe 4.0 X4,(18),€249.00Add,https://cdna.pcpartpicker.com/static/forever/images/product/ee5dce8b58c4c1e8661c97a35289d2fb.256p.jpg
Samsung 970 Evo Plus (240),Capacity500 GB,Price / GB,TypeSSD,Cache512 MB,Form FactorM.2-2280,InterfaceM.2 PCIe 3.0 X4,(240),Add,https://cdna.pcpartpicker.com/static/forever/images/product/25a1bf52562913032cce0b7a71b9e323.256p.jpg
Western Digital WD Green SN3000 (1),Capacity1 TB,Price / GB€0.152,TypeSSD,Cache,Form FactorM.2-2280,InterfaceM.2 PCIe 4.0 X4,(1),€152.30Add,https://cdna.pcpartpicker.com/static/forever/images/product/f7ef0967f1ceb8bb467e4a8b1344a401.256p.jpg
Patriot P300 (17),Capacity256 GB,Price / GB€0.230,TypeSSD,Cache,Form FactorM.2-2280,InterfaceM.2 PCIe 3.0 X4,(17),€58.99Add,https://cdna.pcpartpicker.com/static/forever/images/product/54ee0cd09005260c118e6ae0062f7f1c.256p.jpg
Western Digital WD_BLACK SN8100 (4),Capacity2 TB,Price / GB€0.224,TypeSSD,Cache2048 MB,Form FactorM.2-2280,InterfaceM.2 PCIe 5.0 X4,(4),€447.40Add,https://cdna.pcpartpicker.com/static/forever/images/product/1a712c4fc7eec20d6af59f2992e40962.256p.jpg
